Game;ReleaseDate;Genre;TotalEarnings;OfflineEarnings
Sudden Attack;2005;First-Person Shooter;0;0
Street Fighter X Tekken;2012;Fighting Game;84090.64;83229.34
Street Fighter V: Champion Edition;2020;Fighting Game;1205026.67;664544.21
Street Fighter V: Arcade Edition;2018;Fighting Game;2275283.95;2274433.95
Street Fighter V;2016;Fighting Game;2264656.94;2216156.94
Street Fighter IV;2009;Fighting Game;7938.22;7938.22
Street Fighter III: 3rd Strike;1999;Fighting Game;54341.18;52643.96
Street Fighter EX2 Plus;1999;Fighting Game;350;350
Street Fighter Alpha 3;1998;Fighting Game;340;340
Street Fighter Alpha 2;1996;Fighting Game;2944.69;1830
Street Fighter 6;2023;Fighting Game;1239029.58;1181764.93
Stick Fight the Game;2017;Fighting Game;0;0
Stardew Valley;2016;Role-Playing Game;97850;0
StarCraft: Remastered;2017;Strategy;3048486.06;1707311.68
StarCraft: Brood War;1998;Strategy;7548789.3;7292449.58
StarCraft II;2010;Strategy;40148652.88;31811176.7
Star Wars: Squadrons;2020;Strategy;800;0
Star Wars Jedi Knight II: Jedi Outcast;2002;First-Person Shooter;7679.25;7679.25
Sprint Vector;2018;Racing;11750;11750
Splitgate: Arena Warfare;2019;Multiplayer Online Battle Arena;50000;0
Splatoon 2;2017;First-Person Shooter;8930;8630
Splatoon;2015;First-Person Shooter;1390;0
Spellbreak;2020;Battle Royale;50000;0
Speedrunners;2016;Racing;150;0
Special Force;2004;First-Person Shooter;130250;130250
Space Junkies;2019;First-Person Shooter;30420;24600
Soul Calibur VI;2018;Fighting Game;176687.27;159013.28
Soul Calibur V;2012;Fighting Game;60428.54;60428.54
Soul Calibur IV;2008;Fighting Game;260;260
Soul Calibur II HD Online;2013;Fighting Game;945.41;945.41
Soul Calibur II;2003;Fighting Game;4980;4980
Soccer Stars;2018;Sports;0;0
SNK Heroines: Tag Team Frenzy;2018;Fighting Game;430;430
Snapshot VR;2020;First-Person Shooter;1000;0
SMITE;2014;Multiplayer Online Battle Arena;9250112.75;7872832.57
Smash Remix;2019;Fighting Game;299.06;0
SLAYERS FOR HIRE;2020;Fighting Game;600;0
Slapshot Rebound;2020;Sports;0;0
Slap City;2018;Fighting Game;600;0
Skullgirls Encore;2014;Fighting Game;9155.4;9155.4
Skullgirls 2nd Encore;2015;Fighting Game;60123.02;26561
Skullgirls;2012;Fighting Game;300;300
Shrek SuperSlam;2005;Fighting Game;80;0
Shovel Knight Showdown;2019;Fighting Game;60;60
ShootMania Storm;2013;First-Person Shooter;262090.69;258286.5
Shards of War;2015;Multiplayer Online Battle Arena;1029.21;0
Shardbound;2017;Collectible Card Game;0;0
Shadowverse;2016;Collectible Card Game;5508473.29;5373673.29
Shadowrun;2007;First-Person Shooter;24000;24000
Sekiro: Shadows Die Twice;2019;Fighting Game;19596;0
Sea of Thieves;2016;Strategy;100000;0
Schwarzerblitz;2020;Fighting Game;200;0
Samurai Shodown V Special;2004;Fighting Game;590.57;490.11
Samurai Shodown III;1995;Fighting Game;70;0
Samurai Shodown (2019);2019;Fighting Game;77983.31;77858.31
Sailor Moon S;1995;Fighting Game;3281.19;3271.19
S.T.A.L.K.E.R.: Shadow of Chernobyl;2007;First-Person Shooter;4901.26;4901.26
S.K.I.L.L. - Special Force 2;2013;First-Person Shooter;147532.93;131555.81
Rust;2013;First-Person Shooter;0;0
Rushdown Revolt;2021;Fighting Game;4160.09;0
Rules Of Survival;2017;Battle Royale;0;0
Roof Rage;2019;Fighting Game;50;0
Roller Champions;2022;Sports;0;0
Rogue Company;2020;Third-Person Shooter;50000;0
Rocket League Sideswipe;2021;Sports;38500;0
Rocket League;2015;Sports;35177053.26;14958866.7
Rocket Arena;2020;Battle Royale;100000;0
Roblox;2006;Multiplayer Online Battle Arena;0;0
Rivals of Aether;2015;Fighting Game;41314.85;38783.23
Rising Thunder;2015;Fighting Game;1000;1000
Rise of Nations: Rise of Legends;2006;Strategy;69600;69600
Ring of Elysium;2018;Battle Royale;70000;0
rFactor 2;2013;Racing;2209263.12;1441696.94
rFactor;2005;Racing;15083.56;0
Rezzil Player;2021;Sports;61650;0
Return to Castle Wolfenstein;2001;First-Person Shooter;113424.3;113424.3
Resistance 2;2008;First-Person Shooter;50400;0
Rennsport;2022;Racing;1385700;1385700
Reflex;2015;First-Person Shooter;2458.37;163.66
Red Stone;2004;Role-Playing Game;58000;58000
Red Earth;1996;Fighting Game;100;0
Realm Royale;2018;First-Person Shooter;263000;0
Rainbow Six: Vegas 2;2008;First-Person Shooter;79000;79000
Rainbow Six: Vegas;2006;First-Person Shooter;176400.77;176400.77
Rainbow Six Siege;2015;First-Person Shooter;39493024.47;30266962.32
Rainbow Six Extraction;2022;First-Person Shooter;0;0
Ragnarock;2021;Sports;0;0
Rage;2011;First-Person Shooter;5000;5000
Radical Heights;2018;Battle Royale;120000;0
Racket: NX;2018;Sports;500;0
RaceRoom Racing Experience;2013;Racing;277591.2;82583.7
QuakeWorld;1996;First-Person Shooter;105351.67;99505.44
Quake Live;2010;First-Person Shooter;684854.12;599972.93
Quake III Arena;1999;First-Person Shooter;1197552.96;1179740.93
Quake II;1997;First-Person Shooter;130725.98;130100
Quake Champions;2017;First-Person Shooter;3506250.52;2551846.63
Quake 4;2005;First-Person Shooter;564455.57;562204.81
Puyo Puyo Tetris 2;2020;Puzzle Game;896.02;785.85
Puyo Puyo Tetris;2014;Puzzle Game;3422.84;1617.75
Puyo Puyo Champions;2019;Puzzle Game;2482.3;2071.8
Punch Planet;2017;Fighting Game;400;0
Prophecy;2020;Strategy;13000;0
Project Plus;2019;Fighting Game;195;0
Project M;2010;Fighting Game;205292.09;205292.09
Project Justice;2000;Fighting Game;165;165
Project Gotham Racing 4;2007;Racing;25208.46;25208.46
Project Gotham Racing 3;2005;Racing;297286.85;297286.85
Project Gotham Racing 2;2003;Racing;35000;35000
Project Cars 2;2017;Racing;66150;58150
Project Cars;2015;Racing;68955.21;10602.71
Pro Evolution Soccer 6;2006;Sports;20216.82;20216.82
Pro Evolution Soccer 5;2005;Sports;32000;32000
Pro Evolution Soccer 4;2004;Sports;40550.64;40550.64
Pro Evolution Soccer 3;2003;Sports;25000;25000
Pro Evolution Soccer 2019;2019;Sports;216000;216000
Pro Evolution Soccer 2018;2017;Sports;250000;250000
Pro Evolution Soccer 2017;2016;Sports;514697.71;514697.71
Pro Evolution Soccer 2016;2015;Sports;27243.84;27243.84
Pro Evolution Soccer 2015;2014;Sports;26544.76;26544.76
Pro Evolution Soccer 2014;2013;Sports;29410.25;29410.25
Pro Evolution Soccer 2013;2012;Sports;0;0
Pro Evolution Soccer 2009;2008;Sports;1395.97;0
Pro Evolution Soccer 2008;2007;Sports;2084.15;2084.15
Power Rangers: Legacy Wars;2017;Fighting Game;4178.55;4178.55
Power Rangers: Battle for the Grid;2019;Fighting Game;6746.8;3086.2
Power Instinct: Matrimelee;2002;Fighting Game;90;0
Pokken Tournament DX;2017;Fighting Game;22125.4;21914
Pokken Tournament;2016;Fighting Game;77216.66;76971.66
Pokemon VGC;2012;Strategy;627852;608000
Pokemon Unite;2021;Multiplayer Online Battle Arena;1350500;1045500
Pokemon TCG;1996;Collectible Card Game;0;0
Pokemon GO;2016;Strategy;245490;239600
Point Blank;2008;First-Person Shooter;1903561.1;1725721.63
Pocket Rumble;2016;Fighting Game;185;0
Pocket Bravery;2022;Fighting Game;452.35;452.35
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile;2017;Battle Royale;73971090.93;49501367.13
PLAYERUNKNOWN'S BATTLEGROUNDS;2017;Battle Royale;56968205.8;42985882.95
Playchess.com;2002;Strategy;32866.58;0
Pistol Whip;2019;First-Person Shooter;7500;0
Persona 4 Arena Ultimax;2013;Fighting Game;20268.16;20268.16
Persona 4 Arena;2012;Fighting Game;6336.63;6336.63
Penguin Paradise;2022;Battle Royale;0;0
Pavlov;2017;First-Person Shooter;1260;0
Panel Attack;2020;Puzzle Game;140;0
Paladins;2015;First-Person Shooter;2490507.6;1789000
Painkiller;2004;First-Person Shooter;1015000;1015000
Pac-man;1981;Puzzle Game;0;0
Overwatch 2;2022;First-Person Shooter;9395501.12;6229548.12
Overwatch;2016;First-Person Shooter;34616725.38;18840032.08
osu!;2007;Music / Rhythm Game;228205.84;26827.89
Onward;2016;First-Person Shooter;161820;123000
Onmyoji Arena;2018;Multiplayer Online Battle Arena;89679.22;89679.22
Old School Runescape;2013;Role-Playing Game;457504.2;28500
Nock;2022;Sports;4050;0
Nitroplus Blasterz: Heroines Infinite Duel;2015;Fighting Game;1994;1994
Ninja Legends;2019;Fighting Game;1000;0
NHL '94;1993;Sports;3818.56;3818.56
NHL 23;2022;Sports;105250;105250
NHL 19;2018;Sports;22566.67;19566.67
NHL 18;2017;Sports;102700;90000
NHL 17;2016;Sports;0;0
NHL 15;2014;Sports;3157.16;3157.16
NHL 14;2013;Sports;3023.96;3023.96
NHL 13;2012;Sports;70000;70000
NHL 12;2011;Sports;702.93;702.93
Need for Speed: Underground 2;2004;Racing;35629.48;35629.48
Need for Speed: Underground;2003;Racing;35000;35000
Need for Speed: Shift;2009;Racing;10500;10500
Need for Speed: ProStreet;2007;Racing;32208.46;32208.46
Need for Speed: Most Wanted;2005;Racing;35694.54;35694.54
Need for Speed Carbon;2006;Racing;36322.58;36322.58
NBA 2K23;2022;Sports;2925000;2425000
NBA 2K22;2021;Sports;2650000;2150000
NBA 2K21;2020;Sports;1330501;1080000
NBA 2K20;2019;Sports;250000;0
NBA 2K19;2018;Sports;250000;250000
NBA 2K18;2017;Sports;1000000;1000000
NBA 2K Online 2;2018;Sports;0;0
NBA 2K Online;2012;Sports;0;0
NASCAR Thunder 2003;2002;Racing;5933.5;5933.5
NASCAR Thunder 2002;2001;Racing;7679.25;7679.25
Nascar Heat 5;2020;Racing;6125;2500
NASCAR Heat 4;2019;Racing;200500;0
Naruto: Gekitou Ninja Taisen! 4;2005;Fighting Game;200;0
Naruto Shippuden: Ultimate Ninja Storm 4;2016;Fighting Game;4550;2000
Naraka: Bladepoint;2021;Role-Playing Game;2908130.52;2473700
Mythgard;2019;Collectible Card Game;3000;0
Mystery Game Tournament;2019;Fighting Game;10995;10995
MultiVersus;2022;Fighting Game;114202.5;100151.5
Multigaming;2000;Strategy;574135.5;516816.46
Mortal Kombat XL;2016;Fighting Game;134203.79;129203.79
Mortal Kombat X;2015;Fighting Game;563532.42;563532.42
Mortal Kombat vs. DC Universe;2008;Fighting Game;0;0
Mortal Kombat 9;2011;Fighting Game;136891.67;136891.67
Mortal Kombat 11;2019;Fighting Game;601390.54;519128.34
Mordhau;2019;Fighting Game;16623;0
Mobile Suit Gundam: Extreme Vs Maxi Boost ON;2016;Third-Person Shooter;420;320
Mobile Legends: Bang Bang;2016;Multiplayer Online Battle Arena;10389383.85;8786159.58
MOBA Legends;2016;Multiplayer Online Battle Arena;225;0
Minecraft;2011;Multiplayer Online Battle Arena;2027733.15;109650
Million Arthur: Arcana Blood;2017;Fighting Game;7540;7530
Mighty Fight Federation;2021;Fighting Game;100;0
Microsoft Excel;1985;Puzzle Game;3200;0
Metal Gear Online;2008;First-Person Shooter;8000;0
Men of War: Assault Squad 2;2014;Strategy;0;0
Melty Blood: Type Lumina;2021;Fighting Game;37842.49;37842.49
Melty Blood: Actress Again Current Code;2010;Fighting Game;11429.93;8665
Melty Blood: Actress Again;2009;Fighting Game;0;0
MechWarrior Online;2013;First-Person Shooter;143490;143490
Marvel vs. Capcom: Infinite;2017;Fighting Game;76256.72;76202.12
Marvel vs. Capcom 3;2011;Fighting Game;22343.62;22343.62
Marvel vs. Capcom 2;2000;Fighting Game;39279.73;39269.73
Mario Tennis Aces;2018;Sports;61.3;0
Mario Kart 8 Deluxe;2017;Racing;5004.44;5004.44
Marbles on Stream;2018;Racing;0;0
Maiden & Spell;2020;Fighting Game;325;0
Magical Drop III;1997;Puzzle Game;130;130
Magic: The Gathering Online;2002;Collectible Card Game;1818000;1218000
Magic: The Gathering Arena;2018;Collectible Card Game;9194000;4434000
Madden NFL 24;2023;Sports;200000;200000
Madden NFL 23;2022;Sports;1700000;1260000
Madden NFL 22;2021;Sports;1650000;1000000
Madden NFL 21;2020;Sports;1280000;330000
Madden NFL 2018;2017;Sports;423676.62;20676.62
Madden NFL 2017;2016;Sports;1004000;1004000
Madden NFL 2016;2015;Sports;50000;50000
Madden NFL 2013;2012;Sports;400000;400000
Madden NFL 2009;2008;Sports;100000;100000
Madden NFL 2008;2007;Sports;100000;100000
Madden NFL 2007;2006;Sports;100000;100000
Madden NFL 2006;2005;Sports;100000;100000
Madden NFL 2004;2003;Sports;1500;1500
Madden NFL 20;2019;Sports;923000;703000
Madden NFL 19;2018;Sports;125000;125000
Mad Skills Motocross 2;2017;Racing;80163;80163
Loco Dojo Unleashed;2021;Strategy;1000;1000
Live for Speed;2003;Racing;11833.14;9219.14
Lichess;2010;Strategy;1300329.91;0
Lethal League Blaze;2018;Fighting Game;5643.92;1677.75
Lemnis Gate;2021;First-Person Shooter;1564.7;0
Legion TD 2;2021;Strategy;0;0
Legends of Runeterra;2020;Collectible Card Game;718091.03;0
Legend of Glory;2015;Multiplayer Online Battle Arena;472.66;0
League of Legends: Wild Rift;2021;Multiplayer Online Battle Arena;9480421.08;6930081.25
League of Legends;2009;Multiplayer Online Battle Arena;105011055.56;90815673.41
Koihime Enbu;2016;Fighting Game;1765;1615
Knockout City;2021;Third-Person Shooter;0;0
Kirby Fighters 2;2020;Fighting Game;222.86;0
King of Fighters XV;2022;Fighting Game;107769.51;81086.09
King of Fighters XIV;2016;Fighting Game;74402.09;73542.09
King of Fighters XIII;2010;Fighting Game;45444.28;45444.28
King of Fighters XI;2005;Fighting Game;25;25
King of Fighters 98;1998;Fighting Game;7945.57;7945.57
King of Fighters 2002 Unlimited Match;2009;Fighting Game;760;760
Killer Instinct (2013);2013;Fighting Game;226323.54;226253.54
Kill la Kill the Game: IF;2019;Fighting Game;920;770
KartRider;2004;Racing;567366.35;567366.35
KARDS, The World War II Card Game;2019;Collectible Card Game;0;0
Just Hoops;2021;Sports;0;0
Just Dance 2014;2013;Music / Rhythm Game;0;0
Jstris;2014;Puzzle Game;275;0
JoJo's Bizarre Adventure: Heritage for the Future;1999;Fighting Game;324.99;0
JoJo's Bizarre Adventure: All Star Battle R;2022;Fighting Game;780;780
Jak II;2003;Racing;0;0
Jak and Daxter: The Precursur Legacy;2001;Racing;500;0
Jak 3;2004;Racing;0;0
Islands of Nyne;2017;First-Person Shooter;0;0
Ironsight;2018;First-Person Shooter;0;0
Iron Harvest;2020;Strategy;0;0
iRacing.com;2008;Racing;3531694.03;939017.1
Internet Chess Club;1995;Strategy;10000;0
Injustice: Gods Among Us;2013;Fighting Game;35176.89;35176.89
Injustice 2;2017;Fighting Game;837447.16;836014.57
Identity V;2018;Strategy;1774630.31;1311194.98
HYPERFIGHT;2019;Fighting Game;140;0
Hyper Street Fighter II;2003;Fighting Game;10250;10250
Hyper Scape;2020;Multiplayer Online Battle Arena;299000;0
Hot Lap League;2021;Racing;0;0
Hokuto no Ken;2005;Fighting Game;145;145
Heroes of the Storm;2015;Multiplayer Online Battle Arena;18451461.38;14254535.64
Heroes of Newerth;2010;Multiplayer Online Battle Arena;3073445.72;1722436.17
Heroes of Might and Magic III;1999;Strategy;0;0
Heavy Metal Machines;2017;Multiplayer Online Battle Arena;12339.33;0
Hearthstone Battlegrounds;2019;Collectible Card Game;723630;320000
Hearthstone;2014;Collectible Card Game;29531545.82;18275169.29
Hand of the Gods;2017;Collectible Card Game;94434.2;72500
Halo: Reach;2010;First-Person Shooter;772089.97;712089.97
Halo: Combat Evolved;2001;First-Person Shooter;299281;299281
Halo Infinite;2021;First-Person Shooter;3985655;3510800
Halo 5: Guardians;2015;First-Person Shooter;7161730.97;6783930.97
Halo 4;2012;First-Person Shooter;430748.76;428498.76
Halo 3;2007;First-Person Shooter;2318079.4;2161479.4
Halo 2 Anniversary;2014;First-Person Shooter;468705.05;468705.05
Halo 2;2004;First-Person Shooter;1626762.47;1489362.47
H1Z1;2016;Battle Royale;2067122;2067122
Gym Masters VR;2021;Sports;500;0
Gwent;2016;Collectible Card Game;1504997.17;755391.17
Guns of Boom;2017;First-Person Shooter;198750;190000
Gundam Versus;2017;First-Person Shooter;280;280
Guitar Hero: World Tour;2008;Music / Rhythm Game;0;0
Guitar Hero III: Legends of Rock;2007;Music / Rhythm Game;19000;19000
Guitar Hero 5;2009;Music / Rhythm Game;10500;10500
Guilty Gear XX Slash;2005;Fighting Game;10250;10250
Guilty Gear XX Accent Core Plus R;2012;Fighting Game;14702.14;6430
Guilty Gear XX Accent Core Plus;2008;Fighting Game;0;0
Guilty Gear XX Accent Core;2007;Fighting Game;10365;10365
Guilty Gear XX #Reload;2003;Fighting Game;0;0
Guilty Gear XX;2002;Fighting Game;0;0
Guilty Gear Xrd -SIGN-;2014;Fighting Game;37445.66;37445.66
Guilty Gear Xrd -REVELATOR-;2016;Fighting Game;36437.43;36437.43
Guilty Gear Xrd REV 2;2017;Fighting Game;126399.3;126204.3
Guilty Gear -STRIVE-;2021;Fighting Game;430875.29;348617.16
Guilty Gear;1998;Fighting Game;32;32
Guild Wars 2;2012;Role-Playing Game;476005.5;350000
Groove Gunner;2020;Sports;0;0
GRID (2019);2019;Racing;218.75;218.75
Grey Goo;2015;Strategy;36400;30400
Granblue Fantasy: Versus;2020;Fighting Game;186825.88;152754.77
Gran Turismo Sport;2017;Racing;61522.56;27511
Gran Turismo 7;2022;Sports;21084.8;0
Gran Turismo 4;2004;Racing;44000;44000
Gran Turismo 3: A-Spec;2001;Racing;3250;3250
Golf With Your Friends;2016;Sports;19400;0
GOLF Plus;2020;Sports;5000;5000
Ghost Recon Advanced Warfighter;2006;First-Person Shooter;24000;24000
Gears of War: Ultimate Edition;2015;Third-Person Shooter;170000;170000
Gears of War 4;2016;Third-Person Shooter;3142785;3055000
Gears of War 3;2011;Third-Person Shooter;7255.81;4555.81
Gears of War 2;2008;Third-Person Shooter;135000;135000
Gears of War;2006;Third-Person Shooter;252195.57;252195.57
Gears 5;2019;Third-Person Shooter;2320920;680000
Garou: Mark of the Wolves;1999;Fighting Game;658.71;513.71
Free Fire;2017;Battle Royale;15168032.93;11372968.78
Forza Motorsport 7;2017;Racing;820200;616200
Forza Motorsport 6;2015;Racing;172600;170200
Forza Motorsport 4;2011;Racing;132.37;132.37
Forza Motorsport 3;2009;Racing;11000;11000
Forza Motorsport 2;2007;Racing;222000;222000
Forza Horizon 5;2021;Racing;25000;500
Fortnite;2017;Battle Royale;169935795.99;48728256.19
Fighting EX Layer;2018;Fighting Game;1642.96;1632.96
Fighter's History Dynamite;1994;Fighting Game;195;195
Fight of Animals;2019;Fighting Game;630.68;0
FIFA Online 4;2018;Sports;4049185.91;2479725.66
FIFA Online 3;2012;Sports;1937542.85;1937542.85
FIFA 23;2022;Sports;6187253.33;5087650.94
FIFA 22;2021;Sports;3173958.53;2473982.53
FIFA 21;2020;Sports;3181837.29;260433.91
FIFA 2002 World Cup;2002;Sports;43000;43000
FIFA 2001;2000;Sports;46000;46000
FIFA 2000;1999;Sports;50000;50000
FIFA 20;2019;Sports;2618139.7;1141158.77
FIFA 19;2018;Sports;3321246.79;3244403.28
FIFA 18;2017;Sports;2233697.69;2221267.08
FIFA 17;2016;Sports;1482612.63;1482612.63
FIFA 16;2015;Sports;118401.61;117457.44
FIFA 15;2014;Sports;144373.99;116439.15
FIFA 14;2013;Sports;96347.81;87377.48
FIFA 13;2012;Sports;458427.82;448195.59
FIFA 12;2011;Sports;57931.52;50779.42
FIFA 11;2010;Sports;93983.77;85154.02
FIFA 10;2009;Sports;117026.71;90147.21
FIFA 09;2008;Sports;121618.34;115321.42
FIFA 08;2007;Sports;207129.94;207129.94
FIFA 07;2006;Sports;238312.23;238312.23
FIFA 06;2005;Sports;112464.53;112464.53
FIFA 05;2004;Sports;57728.01;57728.01
FIFA 04;2003;Sports;40000;40000
FIFA 03;2002;Sports;54066.44;54066.44
Farming Simulator 22;2021;Strategy;48654.04;32604.02
Farming Simulator 19;2018;Strategy;673267.88;212289.81
Farlight 84;2023;Battle Royale;0;0
Fantasy Strike;2019;Fighting Game;5799.8;2610
Fall Guys;2020;Battle Royale;340273.83;0
Faeria;2017;Collectible Card Game;4100;0
F1 22;2022;Racing;750324;0
F1 2021;2021;Racing;765939;0
F1 2020;2020;Racing;752235;0
F1 2019;2019;Racing;538047.38;538047.38
F1 2018;2018;Racing;200000;200000
F.E.A.R.;2005;First-Person Shooter;178000;178000
Evolve;2015;First-Person Shooter;131509.05;126054.1
EV.IO;2021;First-Person Shooter;0;0
Eternal Fighter Zero;2000;Fighting Game;1311.6;0
Escape from Tarkov;2020;First-Person Shooter;114600;0
Epic Roller Coasters VR;2018;Racing;1000;0
Enemy Territory: Quake Wars;2007;First-Person Shooter;60923.12;60923.12
Endgods;2015;Strategy;0;0
Eleven Table Tennis;2016;Sports;0;0
eFootball;2021;Sports;492000;25000
Echo Combat;2018;First-Person Shooter;46800;46800
Echo Arena;2017;Sports;193732.32;169362.32
EA Sports FC Online;2023;Sports;0;0
Duck Game;2014;Fighting Game;750;0
Dream Three Kingdoms 2;2015;Multiplayer Online Battle Arena;0;0
Dream league Soccer;2019;Sports;0;0
Dragon Ball Z: Budokai 3;2004;Fighting Game;204.06;204.06
Dragon Ball FighterZ;2018;Fighting Game;493043.45;470146.95
Dota Underlords;2019;Strategy;26024.18;0
Dota 2;2013;Multiplayer Online Battle Arena;337107974.16;298290573.89
DOOMBRINGER;2017;First-Person Shooter;567.77;0
Doom II: Hell on Earth;1994;First-Person Shooter;5108.56;2200
